# territories = {
#  0: 'Western Australia', 
#  1: 'Northern Territory',
#  2: 'South Australia',
#  3: 'Queensland',
#  4: 'New South Wales',
#  5: 'Victoria',
#  6: 'Tasmania'}
# colors = {
#  0: 'red',
#  1: 'green',
#  2: 'blue'}

# Colors
colors = 3
# Graph:
# Western Australia, Northern Territory
0,1
# Western Australia, South Australia
0,2
# Northern Territory, South Australia
1,2
# Northern Territory, Queensland
1,3
# South Australia, Queensland
2,3
# Queensland, New South Wales
3,4
# South Australia, New South Wales
2,4
# South Australia, Victoria
2,5
# New South Wales, Victoria
4,5
# Victoria, Victoria
5,6
